127.0.0.1 - - [02/Sep/2023:17:48:47 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [02/Sep/2023:17:48:48 +0900] "GET /test0826/WEB-INF/views/top.jsp HTTP/1.1" 404 4349
0:0:0:0:0:0:0:1 - - [02/Sep/2023:17:48:48 +0900] "GET /test0826/resources/css/error404.css HTTP/1.1" 404 4349
0:0:0:0:0:0:0:1 - - [02/Sep/2023:17:48:55 +0900] "GET /test0826/ HTTP/1.1" 200 5767
0:0:0:0:0:0:0:1 - - [02/Sep/2023:17:48:55 +0900] "GET /test0826/resources/majestic/assets/css/theme.css HTTP/1.1" 200 376605
0:0:0:0:0:0:0:1 - - [02/Sep/2023:17:48:55 +0900] "GET /test0826/resources/majestic/vendors/@popperjs/popper.min.js HTTP/1.1" 200 18594
0:0:0:0:0:0:0:1 - - [02/Sep/2023:17:48:55 +0900] "GET /test0826/resources/majestic/vendors/bootstrap/bootstrap.min.js HTTP/1.1" 200 60091
0:0:0:0:0:0:0:1 - - [02/Sep/2023:17:48:55 +0900] "GET /test0826/resources/majestic/vendors/is/is.min.js HTTP/1.1" 200 13181
0:0:0:0:0:0:0:1 - - [02/Sep/2023:17:48:55 +0900] "GET /test0826/resources/majestic/vendors/feather-icons/feather.min.js HTTP/1.1" 200 75779
0:0:0:0:0:0:0:1 - - [02/Sep/2023:17:48:55 +0900] "GET /test0826/resources/majestic/assets/img/gallery/logo.png HTTP/1.1" 200 381
0:0:0:0:0:0:0:1 - - [02/Sep/2023:17:48:55 +0900] "GET /test0826/resources/majestic/assets/js/theme.js HTTP/1.1" 200 13431
0:0:0:0:0:0:0:1 - - [02/Sep/2023:17:48:55 +0900] "GET /test0826/ HTTP/1.1" 200 5767
0:0:0:0:0:0:0:1 - - [02/Sep/2023:17:48:55 +0900] "GET /test0826/resources/majestic/assets/css/theme.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Sep/2023:17:48:55 +0900] "GET /test0826/resources/majestic/vendors/@popperjs/popper.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Sep/2023:17:48:55 +0900] "GET /test0826/resources/majestic/vendors/bootstrap/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Sep/2023:17:48:55 +0900] "GET /test0826/resources/majestic/vendors/is/is.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Sep/2023:17:48:55 +0900] "GET /test0826/resources/majestic/vendors/feather-icons/feather.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Sep/2023:17:48:55 +0900] "GET /test0826/resources/majestic/assets/js/theme.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Sep/2023:17:48:55 +0900] "GET /test0826/resources/majestic/assets/img/gallery/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Sep/2023:18:16:48 +0900] "GET /test0826/WEB-INF/views/top.jsp HTTP/1.1" 404 4349
0:0:0:0:0:0:0:1 - - [02/Sep/2023:18:16:48 +0900] "GET /test0826/resources/css/error404.css HTTP/1.1" 404 4349
0:0:0:0:0:0:0:1 - - [02/Sep/2023:18:17:00 +0900] "GET /test0826/ HTTP/1.1" 200 5378
0:0:0:0:0:0:0:1 - - [02/Sep/2023:19:22:01 +0900] "GET /test0826/WEB-INF/views/test.jsp HTTP/1.1" 404 4349
0:0:0:0:0:0:0:1 - - [02/Sep/2023:19:22:01 +0900] "GET /test0826/resources/css/error404.css HTTP/1.1" 404 4349
0:0:0:0:0:0:0:1 - - [02/Sep/2023:19:22:35 +0900] "GET /test0826/WEB-INF/views/test.jsp HTTP/1.1" 404 4349
0:0:0:0:0:0:0:1 - - [02/Sep/2023:19:22:35 +0900] "GET /test0826/resources/css/error404.css HTTP/1.1" 404 4349
0:0:0:0:0:0:0:1 - - [02/Sep/2023:19:22:39 +0900] "GET /test0826/ HTTP/1.1" 200 3204
0:0:0:0:0:0:0:1 - - [02/Sep/2023:19:22:39 +0900] "GET /test0826/resources/titan/assets/lib/animate.css/animate.css HTTP/1.1" 200 72259
0:0:0:0:0:0:0:1 - - [02/Sep/2023:19:22:39 +0900] "GET /test0826/resources/titan/assets/lib/bootstrap/dist/css/bootstrap.min.css HTTP/1.1" 200 121200
0:0:0:0:0:0:0:1 - - [02/Sep/2023:19:22:39 +0900] "GET /test0826/resources/titan/assets/lib/et-line-font/et-line-font.css HTTP/1.1" 200 7052
0:0:0:0:0:0:0:1 - - [02/Sep/2023:19:22:39 +0900] "GET /test0826/resources/titan/assets/lib/components-font-awesome/css/font-awesome.min.css HTTP/1.1" 200 31000
0:0:0:0:0:0:0:1 - - [02/Sep/2023:19:22:39 +0900] "GET /test0826/resources/titan/assets/lib/flexslider/flexslider.css HTTP/1.1" 200 6851
0:0:0:0:0:0:0:1 - - [02/Sep/2023:19:22:39 +0900] "GET /test0826/resources/titan/assets/lib/owl.carousel/dist/assets/owl.carousel.min.css HTTP/1.1" 200 2936
0:0:0:0:0:0:0:1 - - [02/Sep/2023:19:22:39 +0900] "GET /test0826/resources/titan/assets/lib/magnific-popup/dist/magnific-popup.css HTTP/1.1" 200 6951
0:0:0:0:0:0:0:1 - - [02/Sep/2023:19:22:39 +0900] "GET /test0826/resources/titan/assets/lib/owl.carousel/dist/assets/owl.theme.default.min.css HTTP/1.1" 200 936
0:0:0:0:0:0:0:1 - - [02/Sep/2023:19:22:39 +0900] "GET /test0826/resources/titan/assets/css/style.css HTTP/1.1" 200 50592
